NOME,total_points,underserved_pts,avg_walk_m,max_walk_m,underserved_pct
Ajuda,80,80,3954.879047699925,5567.741674229259,100.0
Alcântara,128,128,1996.5481890890796,3340.945021136298,100.0
Alvalade,139,139,2336.613453214092,3699.091378712267,100.0
Belém,268,268,6539.884684874514,10360.378295778872,100.0
Beato,64,64,3270.0593763026673,5103.469179472054,100.0
Marvila,181,181,3741.8896978840266,6314.712197875679,100.0
Lumiar,172,172,4563.097291113038,6653.113128122191,100.0
Carnide,96,96,4447.098513295849,6206.892514580698,100.0
Parque das Nações,144,144,7970.868170366126,10981.098668576717,100.0
Santa Clara,89,89,6908.215795849896,8263.986845169464,100.0
Olivais,209,209,5401.38235472303,7225.531164100743,100.0
Benfica,205,199,3015.1769354236535,6232.571155333799,97.1
Penha de França,71,67,1799.210440651043,3673.10646908013,94.4
São Domingos de Benfica,107,91,1413.4061882001936,2847.2080208232946,85.0
São Vicente,52,42,1427.3440130662116,3069.3906006902034,80.8
Areeiro,45,30,744.2207848568169,1624.6668057747977,66.7
Estrela,119,68,697.1268849870534,1726.3154540850066,57.1
Santa Maria Maior,79,36,597.4451888460136,2008.6996826804377,45.6
Misericórdia,54,21,520.352189655493,1464.1629219677284,38.9
Avenidas Novas,78,26,461.8853338078399,1365.1110045984733,33.3
Campo de Ourique,41,13,471.6956081537605,1218.1024602618245,31.7
Arroios,53,3,278.45690986724907,582.1182848222649,5.7
Campolide,77,4,275.74774407923894,1051.727586204837,5.2
Santo António,40,1,238.13072341212245,508.3098993510607,2.5
